// altitudeMax;altitudeMin;altitudeMoyenne;anneeRefCommune;anneeRefDepartement;cdNom;cdRef;codeCommune;codeDepartement;codeEN;codeHabitat;codeHabRef;codeIDCNPDispositif;codeMaille;codeME;commentaire;comportement;dateDetermination;dateME;dEEFloutage;denombrementMax;denombrementMin;determinateurIdentite;determinateurMail;determinateurNomOrganisme;diffusionNiveauPrecision;dSPublique;geometrie;heureDateDebut;heureDateFin;identifiantOrigine;identifiantPermanent;identifiantRegroupementPermanent;jddCode;jddId;jddSourceId;jourDateDebut;jourDateFin;météo;methodeRegroupement;natureObjetGeo;nomCite;nomCommune;nomRefMaille;objetDenombrement;obsContexte;obsDescription;observateurIdentite;observateurMail;observateurNomOrganisme;obsMethode;occEtatBiologique;occMethodeDetermination;occNaturalite;occSexe;occStadeDeVie;occStatutBioGeographique;occStatutBiologique;organismeGestionnaireDonnee;organismeStandard;orgTransformation;precisionGeometrie;preuveExistante;preuveNonNumerique;preuveNumerique;profondeurMax;profondeurMin;profondeurMoyenne;referenceBiblio;refHabitat;statutObservation;statutSource;typeDenombrement;typeEN;typeInfoGeoCommune;typeInfoGeoDepartement;typeInfoGeoEN;typeInfoGeoMaille;typeInfoGeoMasseDEau;typeRegroupement;validateurIdentite;validateurMail;validateurNomOrganisme;versionEN;versionME;versionRefHabitat;versionRefMaille;versionTAXREF
1100;1000;1000;2016;2016;60577;;25121;25;;;;;;;;prédation;2015-01-01T00:00+0100;;;5;5;;;;;NSP;POINT(6.1165506092 46.5956127460);11:02;10:08;T82_1_1;;;BDMAP;T82;1;2016-10-01;2016-10-01;ensoleillé;;In;canis lupus;Chapelle-des-bois;;IND;animal se nourrissant;;Hugo FAURE;pierre.michel@nature.fr;FCEN;0;2;connaissance d'expert;1;2;2;;8;ONEMA;;MNHN-SPN;10;;;;;;;;;No;Te;Co;;2;2;;;;;Hugo FAURE;;MNHN-SPN;;;;;V10.0
1000;700;800;2016;2016;60577;;39367;39;;;;;;;;meute;2015-01-01T00:00+0100;;;1;1;;;;;Pu;POINT(6.0391313282 46.5237299646);11:02;10:08;T82_1_2;;;BDMAP;T82;2;2017-02-15;2017-02-15;ensoleillé;;In;canis lupus;Morbier;;IND;pied d'une falaise;;Rasta POPOULOS;;TINTIN;0;2;connaissance d'expert;1;5;2;;7;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;Co;;2;2;;;;;Rasta POPOULOS;;Inconnu, Inconnu;;;;;V10.0
1400;1000;1200;2016;2016;;60577;39059;39;;;;;;;;prédation;2015-01-01T00:00+0100;;;5;5;;;;;Pu;POINT(6.1222315279 46.5324695727);11:02;10:08;T82_1_3;;;BDMAP;T82;3;2017-01-20;2017-01-20;ensoleillé;;In;canis lupus;Bois-d'amont;;IND;au crépuscule;;Ide FIX, Ob‚ LIX ;;RG, AG;23;2;connaissance d'expert;1;2;2;;8;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;Co;;2;2;;;;;Ide FIX, Ob‚ LIX ;;Non renseign,;;;;;V10.0
1200;900;1000;2016;2016;;60577;43098;43;;;;;;;;meute;2015-01-01T00:00+0100;;;1;1;;;;;Pu;POINT(4.0697102456 44.9420509175);11:02;10:08;T82_1_4;;;BDMAP;T82;4;2017-03-15;2017-03-15;ensoleillé;;In;canis lupus;Freycenet-la-Tour;;IND;pied d'une falaise;;Solène ROB;;MNHN-SPN;4;2;connaissance d'expert;1;5;2;;7;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;Co;;2;2;;;;;Solène ROB;;RATS;;;;;V10.0
500;200;500;2016;2016;60577;;48015;48;;;;;;;;prédation;2015-01-01T00:00+0100;;;3;5;;;;;Pu;POINT(3.9799772422 44.4775782828);11:02;10:08;T82_1_5;;;BDMAP;T82;5;2017-04-21;2017-04-21;ensoleillé;;In;canis lupus;Pied-de-Borne;;IND;au crépuscule;;Jean MARC;;Inconnu, Inconnu;8;2;connaissance d'expert;1;3;2;;8;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;Co;;2;2;;;;;Jean MARC;;TEST;;;;;V10.0
1000;500;700;2016;2016;60577;;66222;66;;;;;;;;dominant;2015-01-01T00:00+0100;;;1;1;;;;;Pu;POINT(2.384176 42.542748);11:02;10:08;T82_1_6;;;BDMAP;T82;6;2017-01-04;2017-01-04;ensoleillé;;In;canis lupus;Vernet-les-Bains;;IND;au crépuscule;;Manu LARCENET;;Non renseign,;21;0;connaissance d'expert;1;3;0;0;3;ONEMA;;MNHN-SPN;1;2;;;;;;;;Pr;Te;Co;;2;2;;;;;Manu LARCENET;;BEGONIA;;;;;V10.0
;;;;2016;60577;;;25;;;;;;;;dominant;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(6.36657715484375 47.1972656725);11:02;10:08;T82_1_7;;;BDMAP;T82;7;1988-01-01;2016-12-14;ensoleillé;;In;canis lupus;;;;;;Ptit LUC;;RATS;21;0;;0;0;0;0;1;ONEMA;;MNHN-SPN;1;2;;;;;;;;No;Te;;;;2;;;;;Ptit LUC;;Black;;;;;V10.0
;;;;;60577;;;;;;;;;;;dominant;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(6.36657714843675 47.1972656285);11:02;10:08;T82_1_8;;;BDMAP;T82;8;2014-02-02;2016-12-03;ensoleillé;;In;canis lupus;;;;;;Garga MEL;;TEST;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;;;;;;;;;Garga MEL;;CENAIPAS;;;;;V10.0
;;;;2016;;;;27;;;;;;;;dominant;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(0.80773145056722 49.241586551793);11:02;10:08;T82_1_9;;;BDMAP;T82;9;2011-11-03;2011-11-04;ensoleillé;;In;canis lupus;;;;;;Louis PHILIPPE;;BEGONIA;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;;;;2;;;;;Louis PHILIPPE;;MNHN-SPN;;;;;V10.0
;;;;2016;60577;60577;;28;;;;;;;;dominant;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(5.75035744012219 48.211889363399679);11:02;10:08;T82_1_10;;;BDMAP;T82;10;2013-07-21;2013-07-22;ensoleillé;;In;canis lupus;;;;;;Bloody BEETROOTS;;Black;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;;2;;;;;Bloody BEETROOTS;;Service des eaux fluviales;;;;;V10.0
;;;;2016;60577;60577;;29;;;;;;;;dominant;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T82_1_11;;;BDMAP;T82;11;2008-05-22;2008-05-23;nuageux;;In;canis lupus;;;;;;Sinse MILIA;;CENAIPAS;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;;2;;;;;Sinse MILIA;;MNHN-SPN;;;;;V10.0
